,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7044,0.668,0.6531,0.1176,0.1994,0.1698,0.6811
0_1,0.6921,0.6541,0.6531,0.1092,0.1871,0.1531,0.6551
0_2,0.7439,0.7125,0.7143,0.1378,0.231,0.2186,0.7109
0_3,0.6413,0.6143,0.551,0.0996,0.1688,0.1157,0.67
0_4,0.6209,0.6028,0.5306,0.0956,0.162,0.1039,0.6663
0_5,0.6429,0.6325,0.5833,0.1041,0.1767,0.133,0.6758
0_6,0.667,0.653,0.6667,0.1049,0.1813,0.1494,0.641
0_7,0.6695,0.6272,0.5833,0.1011,0.1723,0.1268,0.6658
0_8,0.6936,0.6615,0.6875,0.1068,0.1849,0.1572,0.6385
0_9,0.68,0.6399,0.5625,0.112,0.1869,0.1447,0.7081
0_Mean,0.6756,0.6466,0.6185,0.1089,0.185,0.1472,0.6713
0_SD,0.0357,0.0311,0.0637,0.012,0.0194,0.032,0.0244
Mean,0.6756,0.6466,0.6185,0.1089,0.185,0.1472,0.6713
SD,0.0357,0.0311,0.0637,0.012,0.0193,0.032,0.0244
