,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5884,0.572,0.75,0.4737,0.5806,0.1508,0.5439
0_1,0.5196,0.5322,0.7917,0.4419,0.5672,0.0739,0.4912
0_2,0.5844,0.5919,0.84,0.5,0.6269,0.2071,0.5614
0_3,0.59,0.5875,0.8,0.5,0.6154,0.1898,0.5614
0_4,0.575,0.5719,0.8,0.4878,0.6061,0.1587,0.5439
0_5,0.545,0.5431,0.68,0.4722,0.5574,0.0887,0.5263
0_6,0.5225,0.5094,0.8,0.4444,0.5714,0.0228,0.4737
0_7,0.6744,0.6788,0.92,0.561,0.697,0.3948,0.6491
0_8,0.6462,0.6525,0.68,0.5862,0.6296,0.3027,0.6491
0_9,0.5417,0.5417,0.8333,0.4545,0.5882,0.1005,0.5
0_Mean,0.5787,0.5781,0.7895,0.4922,0.604,0.169,0.55
0_SD,0.0507,0.0531,0.0726,0.0479,0.0413,0.1119,0.0599
Mean,0.5787,0.5781,0.7895,0.4922,0.604,0.169,0.55
SD,0.0507,0.0531,0.0726,0.0479,0.0413,0.1119,0.0599
