,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7604,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_1,0.5938,0.6042,0.375,0.75,0.5,0.2282,0.5714
0_2,0.5208,0.3958,0.125,0.3333,0.1818,-0.2513,0.3571
0_3,0.7917,0.5625,0.125,1.0,0.2222,0.2402,0.5
0_4,0.875,0.75,0.5,1.0,0.6667,0.5477,0.7143
0_5,0.6458,0.6042,0.375,0.75,0.5,0.2282,0.5714
0_6,0.6458,0.4583,0.25,0.5,0.3333,-0.0913,0.4286
0_7,0.4167,0.3958,0.125,0.3333,0.1818,-0.2513,0.3571
0_8,0.5556,0.5667,0.3333,0.75,0.4615,0.1414,0.5
0_9,0.7,0.4875,0.375,0.6,0.4615,-0.025,0.4615
0_Mean,0.6506,0.5617,0.3333,0.6874,0.4309,0.1344,0.5247
0_SD,0.1369,0.1347,0.1954,0.2426,0.2056,0.2924,0.141
Mean,0.6506,0.5617,0.3333,0.6874,0.4309,0.1344,0.5247
SD,0.1369,0.1347,0.1954,0.2426,0.2056,0.2925,0.1411
