,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9636,0.0298,0.9755,1.0,0.0526,,0.1,0.2237,0.9511,2,698,36,0
0_1,0.7279,0.2733,0.7302,0.5,0.0333,,0.0625,0.1212,0.9592,1,705,29,1
0_2,0.7282,0.2722,0.7268,0.5,0.0286,,0.0541,0.111,0.9524,1,700,34,1
0_3,0.4721,0.0007,0.4809,0.0,0.0,,,-0.0073,0.9605,0,706,28,1
0_4,0.9911,0.5357,0.9782,1.0,0.0303,,0.0588,0.1702,0.9565,1,702,32,0
0_5,0.4598,0.0007,0.4714,0.0,0.0,,,-0.0091,0.9415,0,692,42,1
0_6,0.472,0.0014,0.4809,0.0,0.0,,,-0.0104,0.9592,0,705,28,2
0_7,0.4734,0.0014,0.4823,0.0,0.0,,,-0.01,0.9619,0,707,26,2
0_8,0.7261,0.2675,0.7261,0.5,0.0278,,0.0526,0.1092,0.951,1,698,35,1
0_9,0.7077,0.0114,0.7159,0.5,0.0196,,0.0377,0.0885,0.9306,1,683,50,1
0_Mean,0.6722,0.1394,0.6768,0.4,0.0192,,0.061,0.0787,0.9524,0.7,699.6,34.0,1.0
0_SD,0.2005,0.1868,0.1961,0.3944,0.0185,,0.0209,0.0845,0.0098,0.6749485577105528,7.441624673267107,7.378647873726218,0.6666666666666666
Mean,0.6722,0.1394,0.6768,0.4,0.0192,,0.061,0.0787,0.9524,0.7,699.6,34.0,1.0
SD,0.2005,0.1868,0.1961,0.3944,0.0185,,0.0209,0.0844,0.0098,0.6749,7.4416,7.3786,0.6667
