,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6034,0.5632,0.25,0.0217,0.04,0.0396,0.8696
0_1,0.6529,0.5632,0.25,0.0217,0.04,0.0396,0.8696
0_2,0.459,0.4306,0.0,0.0,,-0.0418,0.8519
0_3,0.7344,0.6827,0.5,0.0392,0.0727,0.1097,0.8614
0_4,0.9357,0.8784,0.8889,0.0769,0.1416,0.2388,0.8682
0_5,0.7038,0.7076,0.5556,0.0467,0.0862,0.1295,0.856
0_6,0.5243,0.5506,0.2222,0.0222,0.0404,0.0339,0.8709
0_7,0.4802,0.4944,0.125,0.01,0.0185,-0.0034,0.8558
0_8,0.8581,0.7389,0.625,0.0446,0.0833,0.138,0.8503
0_9,0.7302,0.684,0.5,0.04,0.0741,0.1114,0.8639
0_Mean,0.6682,0.6294,0.3917,0.0323,0.0663,0.0795,0.8618
0_SD,0.1568,0.1328,0.2678,0.0219,0.0367,0.0817,0.0078
Mean,0.6682,0.6294,0.3917,0.0323,0.0663,0.0795,0.8618
SD,0.1568,0.1328,0.2678,0.0219,0.0367,0.0817,0.0078
