,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7721,0.1416,0.6989,0.5,0.0575,,0.1031,0.1418,0.8929,5,720,82,5
0_1,0.6533,0.1851,0.657,0.4,0.0548,,0.0964,0.1211,0.9076,4,733,69,6
0_2,0.8749,0.4524,0.8641,0.8182,0.1111,,0.1957,0.2809,0.9089,9,729,72,2
0_3,0.7654,0.3241,0.7633,0.6364,0.0737,,0.1321,0.1894,0.8867,7,713,88,4
0_4,0.8157,0.3006,0.767,0.6364,0.0787,,0.14,0.1976,0.8941,7,719,82,4
0_5,0.7238,0.2367,0.6873,0.4545,0.0725,,0.125,0.1553,0.9138,5,737,64,6
0_6,0.5843,0.1616,0.5895,0.2727,0.0385,,0.0674,0.0703,0.8978,3,726,75,8
0_7,0.8059,0.3659,0.7526,0.6,0.0732,,0.1304,0.1849,0.9014,6,725,76,4
0_8,0.7532,0.2564,0.7157,0.5,0.0833,,0.1429,0.1819,0.926,5,746,55,5
0_9,0.5392,0.1173,0.5519,0.2,0.0253,,0.0449,0.0387,0.8952,2,724,77,8
0_Mean,0.7288,0.2542,0.7047,0.5018,0.0668,,0.1178,0.1562,0.9024,5.3,727.2,74.0,5.2
0_SD,0.106,0.1074,0.0909,0.1832,0.0242,,0.0423,0.0687,0.0117,2.0575065816014617,9.566144004305555,9.591663046625438,1.8737959096740262
Mean,0.7288,0.2542,0.7047,0.5018,0.0669,,0.1178,0.1562,0.9024,5.3,727.2,74.0,5.2
SD,0.106,0.1074,0.0909,0.1832,0.0242,,0.0423,0.0687,0.0117,2.0575,9.5661,9.5917,1.8738
