,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6925,0.6276,0.2727,0.1765,0.2143,0.2061,0.973
0_1,0.6951,0.5851,0.2,0.0769,0.1111,0.1066,0.9606
0_2,0.9179,0.8894,0.8,0.32,0.4571,0.4972,0.9766
0_3,0.7827,0.54,0.1,0.0588,0.0741,0.0617,0.9692
0_4,0.7915,0.6438,0.3,0.2308,0.2609,0.2527,0.9791
0_5,0.6918,0.5913,0.2,0.125,0.1538,0.1449,0.9729
0_6,0.8004,0.6687,0.3636,0.16,0.2222,0.2258,0.9656
0_7,0.8538,0.7154,0.4545,0.2083,0.2857,0.2941,0.9692
0_8,0.7065,0.5778,0.1818,0.087,0.1176,0.1084,0.9631
0_9,0.7767,0.6693,0.3636,0.1667,0.2286,0.2312,0.9668
0_Mean,0.7709,0.6509,0.3236,0.161,0.2125,0.2129,0.9696
0_SD,0.0762,0.0988,0.1975,0.0795,0.1104,0.1244,0.0059
Mean,0.7709,0.6508,0.3236,0.161,0.2125,0.2129,0.9696
SD,0.0762,0.0988,0.1975,0.0795,0.1104,0.1244,0.0059
