,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5994,0.3369,0.5994,0.6667,0.0058,,0.0115,0.0254,0.5327,2,389,342,1
0_1,0.7524,0.5041,0.7524,1.0,0.0082,,0.0163,0.0644,0.5068,3,369,362,0
0_2,0.7726,0.506,0.7719,1.0,0.0119,,0.0235,0.0803,0.5463,4,397,333,0
0_3,0.6135,0.3371,0.6135,0.6667,0.0062,,0.0123,0.0292,0.5607,2,409,321,1
0_4,0.6087,0.337,0.6073,0.6667,0.006,,0.0119,0.0275,0.5484,2,400,330,1
0_5,0.5963,0.3369,0.595,0.6667,0.0057,,0.0113,0.0243,0.5239,2,382,348,1
0_6,0.6046,0.337,0.6046,0.6667,0.006,,0.0118,0.0268,0.543,2,396,334,1
0_7,0.4379,0.1695,0.4379,0.3333,0.003,,0.0059,-0.0159,0.5416,1,396,334,2
0_8,0.597,0.3369,0.597,0.6667,0.0058,,0.0114,0.0248,0.528,2,385,345,1
0_9,0.6162,0.3372,0.6162,0.6667,0.0063,,0.0124,0.0299,0.5662,2,413,317,1
0_Mean,0.6199,0.3539,0.6195,0.7,0.0065,,0.0128,0.0317,0.5398,2.2,393.6,336.6,0.9
0_SD,0.0918,0.0953,0.0918,0.1892,0.0023,,0.0045,0.0256,0.0176,0.7888106377466155,12.963195765105318,13.217833071691862,0.5676462121975466
Mean,0.6199,0.3539,0.6195,0.7,0.0065,,0.0128,0.0317,0.5398,2.2,393.6,336.6,0.9
SD,0.0918,0.0953,0.0918,0.1892,0.0023,,0.0045,0.0256,0.0176,0.7888,12.9632,13.2178,0.5676
