,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7172,0.1551,0.6114,0.2381,0.2941,,0.2632,0.2471,0.9653,5,775,12,16
0_1,0.6948,0.1383,0.5851,0.1905,0.2,,0.1951,0.1742,0.9592,4,771,16,17
0_2,0.5787,0.0667,0.5575,0.1429,0.12,,0.1304,0.1056,0.9505,3,765,22,18
0_3,0.535,0.1497,0.5895,0.1905,0.3077,,0.2353,0.2264,0.9678,4,778,9,17
0_4,0.6307,0.1413,0.6114,0.2381,0.2941,,0.2632,0.2471,0.9653,5,775,12,16
0_5,0.6414,0.0453,0.5381,0.0952,0.1176,,0.1053,0.0845,0.9579,2,772,15,19
0_6,0.6986,0.1878,0.6044,0.2381,0.1786,,0.2041,0.1817,0.9517,5,764,23,16
0_7,0.7697,0.534,0.7581,0.5238,0.6471,,0.5789,0.5723,0.9802,11,781,6,10
0_8,0.8282,0.1923,0.5852,0.1818,0.3077,,0.2286,0.2204,0.9666,4,777,9,18
0_9,0.7382,0.1599,0.6327,0.2857,0.2727,,0.2791,0.2594,0.9616,6,770,16,15
0_Mean,0.6833,0.177,0.6073,0.2325,0.274,,0.2483,0.2319,0.9626,4.9,772.8,14.0,16.2
0_SD,0.0885,0.134,0.0596,0.1158,0.1509,,0.1293,0.1337,0.0086,2.4244128727957572,5.493430419854044,5.5377492419453835,2.485513584307633
Mean,0.6832,0.177,0.6073,0.2325,0.274,,0.2483,0.2319,0.9626,4.9,772.8,14.0,16.2
SD,0.0885,0.134,0.0596,0.1158,0.1509,,0.1293,0.1337,0.0086,2.4244,5.4934,5.5377,2.4855
