,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6709,0.288,0.6187,0.5455,0.0237,,0.0455,0.0593,0.69,6,555,247,5
0_1,0.5688,0.2408,0.6156,0.5455,0.0233,,0.0446,0.0574,0.6839,6,550,252,5
0_2,0.6865,0.3341,0.6598,0.6364,0.0268,,0.0515,0.0791,0.6827,7,548,254,4
0_3,0.8058,0.4743,0.7943,0.9091,0.0375,,0.0719,0.1448,0.6827,10,545,257,1
0_4,0.6784,0.2647,0.6466,0.6,0.0238,,0.0458,0.0699,0.6921,6,556,246,4
0_5,0.7683,0.4167,0.7304,0.8,0.0286,,0.0552,0.1069,0.6626,8,530,272,2
0_6,0.6509,0.2139,0.5398,0.4,0.0153,,0.0295,0.0188,0.6761,4,545,257,6
0_7,0.6953,0.365,0.701,0.7,0.0285,,0.0547,0.0965,0.702,7,563,239,3
0_8,0.8193,0.4683,0.7792,0.9,0.0318,,0.0614,0.1292,0.6613,9,528,274,1
0_9,0.7234,0.3802,0.702,0.7273,0.03,,0.0576,0.0994,0.6773,8,542,259,3
0_Mean,0.7068,0.3446,0.6787,0.6764,0.0269,,0.0518,0.0861,0.6811,7.1,546.2,255.7,3.4
0_SD,0.0755,0.0922,0.0785,0.1635,0.0059,,0.0114,0.0371,0.0126,1.728840330651992,10.992927018971992,10.95495828888048,1.7126976771553506
Mean,0.7068,0.3446,0.6787,0.6764,0.0269,,0.0518,0.0861,0.6811,7.1,546.2,255.7,3.4
SD,0.0755,0.0922,0.0785,0.1635,0.006,,0.0114,0.0371,0.0126,1.7288,10.9929,10.955,1.7127
