,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8672,0.0318,0.4952,0.0,0.0,,,-0.0051,0.9878,0,727,7,2
0_1,0.579,0.1262,0.7473,0.5,0.2,,0.2857,0.3134,0.9932,1,730,4,1
0_2,0.5252,0.5011,0.7466,0.5,0.1667,,0.25,0.2855,0.9918,1,729,5,1
0_3,0.4223,0.0012,0.4946,0.0,0.0,,,-0.0039,0.9878,0,726,8,1
0_4,1.0,1.0,0.9973,1.0,0.2,,0.3333,0.446,0.9946,1,730,4,0
0_5,0.4074,0.0011,0.4959,0.0,0.0,,,-0.0033,0.9905,0,728,6,1
0_6,0.4696,0.0062,0.498,0.0,0.0,,,-0.0033,0.9932,0,730,3,2
0_7,0.7012,0.0165,0.498,0.0,0.0,,,-0.0033,0.9932,0,730,3,2
0_8,0.9134,0.5058,0.7439,0.5,0.1,,0.1667,0.2193,0.9864,1,724,9,1
0_9,0.7783,0.0336,0.7452,0.5,0.125,,0.2,0.2462,0.9891,1,726,7,1
0_Mean,0.6664,0.2223,0.6462,0.3,0.0792,,0.2471,0.1491,0.9908,0.5,728.0,5.6,1.2
0_SD,0.2158,0.3384,0.1749,0.3496,0.0886,,0.0664,0.1716,0.0029,0.5270462766947299,2.160246899469287,2.1186998109427604,0.6324555320336759
Mean,0.6664,0.2223,0.6462,0.3,0.0792,,0.2471,0.1492,0.9908,0.5,728.0,5.6,1.2
SD,0.2159,0.3384,0.1749,0.3496,0.0887,,0.0664,0.1716,0.0028,0.527,2.1602,2.1187,0.6325
