,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8111,0.7658,0.5882,0.1818,0.2778,0.3029,0.936
0_1,0.6547,0.712,0.4706,0.1778,0.2581,0.2653,0.9433
0_2,0.6565,0.6582,0.3529,0.1714,0.2308,0.2231,0.9507
0_3,0.7197,0.7236,0.5,0.16,0.2424,0.2585,0.9383
0_4,0.873,0.7958,0.6471,0.2,0.3056,0.3371,0.9383
0_5,0.7557,0.7189,0.4706,0.2353,0.3137,0.313,0.9568
0_6,0.7997,0.7114,0.4706,0.1739,0.254,0.2618,0.942
0_7,0.7211,0.7414,0.5294,0.1957,0.2857,0.299,0.9445
0_8,0.8067,0.7708,0.5882,0.2128,0.3125,0.3321,0.9457
0_9,0.7354,0.7714,0.5882,0.2174,0.3175,0.3362,0.947
0_Mean,0.7534,0.7369,0.5206,0.1926,0.2798,0.2929,0.9443
0_SD,0.0701,0.0403,0.0855,0.0238,0.0321,0.039,0.0063
Mean,0.7534,0.7369,0.5206,0.1926,0.2798,0.2929,0.9443
SD,0.0701,0.0403,0.0855,0.0238,0.0321,0.039,0.0063
