,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7556,0.6881,0.72,0.6207,0.6667,0.3735,0.6842
0_1,0.7225,0.6569,0.72,0.5806,0.6429,0.3126,0.6491
0_2,0.6256,0.6106,0.44,0.6111,0.5116,0.2362,0.6316
0_3,0.66,0.6638,0.64,0.6154,0.6275,0.3263,0.6667
0_4,0.6844,0.6794,0.64,0.64,0.64,0.3588,0.6842
0_5,0.7163,0.6325,0.64,0.5714,0.6038,0.263,0.6316
0_6,0.7238,0.675,0.6,0.6522,0.625,0.354,0.6842
0_7,0.707,0.6771,0.6667,0.6154,0.64,0.3514,0.6786
0_8,0.6341,0.599,0.5417,0.5417,0.5417,0.1979,0.6071
0_9,0.7799,0.6979,0.5833,0.7,0.6364,0.4088,0.7143
0_Mean,0.7009,0.658,0.6192,0.6148,0.6135,0.3182,0.6632
0_SD,0.0501,0.0334,0.0841,0.0444,0.049,0.0664,0.0325
Mean,0.7009,0.658,0.6192,0.6148,0.6136,0.3183,0.6632
SD,0.0501,0.0334,0.0841,0.0444,0.049,0.0664,0.0325
